t, spline
-1.000000, 0.038462
-0.979798, 0.039968
-0.959596, 0.040854
-0.939394, 0.041251
-0.919192, 0.041293
-0.898990, 0.041114
-0.878788, 0.040848
-0.858586, 0.040627
-0.838384, 0.040586
-0.818182, 0.040857
-0.797980, 0.041575
-0.777778, 0.042872
-0.757576, 0.044882
-0.737374, 0.047739
-0.717172, 0.051576
-0.696970, 0.056526
-0.676768, 0.062724
-0.656566, 0.070302
-0.636364, 0.079393
-0.616162, 0.090133
-0.595960, 0.102653
-0.575758, 0.116998
-0.555556, 0.133019
-0.535354, 0.150538
-0.515152, 0.169379
-0.494949, 0.189365
-0.474747, 0.210318
-0.454545, 0.232061
-0.434343, 0.254419
-0.414141, 0.277213
-0.393939, 0.300267
-0.373737, 0.323404
-0.353535, 0.346447
-0.333333, 0.369219
-0.313131, 0.391544
-0.292929, 0.413243
-0.272727, 0.434141
-0.252525, 0.454060
-0.232323, 0.472824
-0.212121, 0.490255
-0.191919, 0.506178
-0.171717, 0.520494
-0.151515, 0.533199
-0.131313, 0.544296
-0.111111, 0.553790
-0.090909, 0.561683
-0.070707, 0.567980
-0.050505, 0.572683
-0.030303, 0.575796
-0.010101, 0.577323
0.010101, 0.577266
0.030303, 0.575630
0.050505, 0.572418
0.070707, 0.567633
0.090909, 0.561279
0.111111, 0.553359
0.131313, 0.543877
0.151515, 0.532837
0.171717, 0.520241
0.191919, 0.506093
0.212121, 0.490402
0.232323, 0.473264
0.252525, 0.454840
0.272727, 0.435293
0.292929, 0.414787
0.313131, 0.393483
0.333333, 0.371545
0.353535, 0.349137
0.373737, 0.326421
0.393939, 0.303560
0.414141, 0.280718
0.434343, 0.258057
0.454545, 0.235741
0.474747, 0.213933
0.494949, 0.192795
0.515152, 0.172491
0.535354, 0.153184
0.555556, 0.135037
0.575758, 0.118213
0.595960, 0.102875
0.616162, 0.089165
0.636364, 0.077068
0.656566, 0.066501
0.676768, 0.057377
0.696970, 0.049612
0.717172, 0.043121
0.737374, 0.037820
0.757576, 0.033622
0.777778, 0.030444
0.797980, 0.028200
0.818182, 0.026805
0.838384, 0.026175
0.858586, 0.026225
0.878788, 0.026869
0.898990, 0.028022
0.919192, 0.029600
0.939394, 0.031518
0.959596, 0.033691
0.979798, 0.036034
1.000000, 0.038462
